FirstIndex	LastIndex	PatternSize	CopyNumber	Score
79	2651	100	25,700855	2930
3394	3769	100	3,774510	470
6391	7266	200	4,434783	996
6391	6818	100	4,284314	556
6742	6920	92	1,989130	213
6832	7266	100	4,352941	532
7040	7516	256	1,910156	663
7136	7413	152	1,855263	393
7286	8291	100	10,091743	1246
7286	8291	199	5,047170	1232
7286	8291	299	3,375000	1282
8663	8826	85	1,952941	278
8742	9292	100	5,533980	806
9368	9778	99	4,104762	439
9405	9778	203	1,871921	526
11517	11815	150	2,020000	390
11665	12661	100	9,971963	1141
12888	15720	100	28,203125	3146
12888	16342	298	11,386111	3430
15742	15900	79	2,025316	230
15820	16342	101	5,247525	592
17682	17900	101	2,186275	307
17682	18150	252	1,900794	643
17774	18038	150	1,806667	389
17921	18626	100	7,057693	864
17921	19587	199	8,421296	1803
18536	18712	86	2,058140	246
18622	19587	100	9,693694	1007
18622	19587	199	4,838710	1107
18622	19587	294	3,220497	1045
20943	21958	100	10,188680	1066
20943	21956	299	3,385113	1265
24009	24120	55	2,145455	164
24010	24106	27	3,612903	80
25571	26008	145	3,020690	813
27948	28139	94	2,095745	286
29803	29872	15	4,705883	63
34911	35198	98	2,906542	289
36632	36798	94	1,851064	222
41059	41094	18	2,000000	72
41316	41405	28	3,206897	146
44832	45435	101	5,949152	498
45040	45238	100	2,050000	275
46184	46251	33	2,060606	136
46468	46569	27	3,777778	186
53602	53626	3	8,333333	50
61150	61250	3	33,666668	102
61169	61286	49	2,500000	129
62409	62524	53	2,207547	189
62412	62515	26	4,000000	95
62428	62515	26	3,321429	97
62440	62530	25	3,419355	85
66133	66247	39	2,948718	131
84087	84111	13	1,923077	50
91240	91273	13	2,692308	52
101048	101081	14	2,428571	50
109407	109434	13	2,153846	56
110704	110758	20	2,772727	60
110956	111043	18	4,681818	68
110956	111060	28	3,718750	90
110960	111023	17	3,750000	60
110970	111023	3	19,000000	53
110984	111043	23	2,560000	75
111205	111783	301	2,009967	733
111458	111532	22	3,320000	91
111458	111549	48	2,020833	122
111764	111826	26	2,518518	78
112768	112833	36	1,916667	84
113322	113424	31	3,285714	116
113442	113528	27	3,214286	95
113545	113614	27	2,592592	86
116263	116291	15	2,000000	51
117809	117852	23	1,913043	70
119005	119044	21	1,952381	64
125116	125232	26	4,466667	109
125135	125231	53	1,905660	148
125948	126013	34	1,941176	114
143705	143749	21	2,142857	90
146363	146401	18	2,222222	53
147309	147362	23	2,478261	69
156220	156250	16	2,000000	55
156234	156356	38	3,205128	138
156336	156398	34	1,941176	87
156491	156564	38	2,000000	89
156587	156625	2	19,000000	69
159255	159402	57	2,677966	137
160206	160256	15	3,466667	50
168423	168463	22	1,954545	68
170322	170369	23	2,086957	60
179440	180071	331	1,972810	748
182038	183260	311	3,952229	1926
182038	183249	617	1,970827	2009
188029	188100	37	1,945946	126
192685	192783	47	2,106383	180
192804	192864	30	2,033333	122
196032	196109	26	3,000000	120
205768	205839	3	24,000000	144
220964	221032	38	1,921053	101
221479	221559	39	2,102564	92
222338	222402	23	2,956522	73
222348	222402	11	5,000000	51
229264	229325	28	2,285714	83
229583	229676	49	1,938776	145
231345	231385	18	2,277778	55
231350	231467	29	4,225806	97
231350	231467	59	2,118644	160
231360	231467	26	3,935484	108
231446	231490	18	2,555556	65
233242	233335	25	3,642857	73
233269	233328	26	2,346154	77
233284	233336	26	2,038461	79
233368	233392	13	1,923077	50
233584	233615	11	2,909091	55
233874	233899	2	13,000000	52
238338	238483	58	2,542373	206
239110	239161	17	3,055556	52
248433	248612	49	3,673469	297
248650	248755	26	4,066667	94
249848	249881	3	11,333333	68
250331	250369	18	2,277778	55
261014	261175	49	3,306123	234
261217	261272	25	2,307692	80
271641	271673	14	2,357143	66
275353	275402	24	2,250000	72
281733	281905	49	3,520000	274
281900	281942	18	2,388889	59
281908	282016	26	4,096774	96
281908	281991	25	3,193548	82
282577	282606	14	2,142857	60
289326	289367	16	2,625000	84
294021	294063	20	2,238095	54
295137	295298	49	3,306123	288
295302	295336	18	1,944444	61
295320	295399	29	2,833333	85
296393	296486	26	3,629630	82
296602	296674	26	2,793103	78
298009	298080	35	2,057143	135
298275	298342	28	2,400000	100
298286	298348	30	2,100000	126
298706	298791	42	2,095238	149
299613	299659	24	1,958333	76
299883	299939	31	1,903226	91
300624	300693	33	2,242424	112
300971	301029	24	2,458333	100
301228	301277	25	2,000000	82
301259	301315	30	1,900000	87
301407	301493	41	2,121951	147
301875	301946	25	2,821429	74
301903	301997	50	1,920000	165
302040	302085	20	2,300000	65
302338	302391	20	2,700000	90
302903	302950	24	2,000000	87
304035	304088	22	2,454545	99
308705	308764	2	30,000000	111
312083	312142	25	2,480000	70
312434	312461	2	14,000000	56
320412	320441	7	4,285714	60
322582	322671	47	1,957447	112
324182	324219	2	19,000000	67
328865	328956	41	2,243902	166
328865	328929	20	3,227273	51
330617	330786	86	2,000000	272
330967	331006	18	2,222222	62
336487	336548	12	5,076923	70
336488	336548	25	2,480000	106
336900	337029	49	2,611111	190
336920	337026	53	2,018868	205
336928	337011	24	3,300000	71
337307	337355	23	2,260870	59
338191	338248	26	2,307692	84
338203	338255	24	2,200000	97
340458	340533	18	4,285714	54
340458	340520	35	1,914286	89
355188	355217	16	1,937500	53
361638	361848	105	2,009524	332
368917	368982	28	2,392857	125
380412	380447	19	1,947368	56
384990	385044	28	2,035714	69
385006	385045	19	2,210526	66
397335	397364	15	2,000000	60
400013	400038	2	13,000000	52
400128	400166	19	2,105263	62
400559	400640	43	1,953488	105
401198	401348	77	1,961039	239
401575	401637	32	2,000000	92
402484	402530	25	1,920000	60
403532	403655	39	3,179487	221
403830	403888	30	2,066667	88
404534	404586	16	3,294118	54
406336	406423	33	2,666667	140
406472	406545	30	2,466667	94
414090	414238	75	1,986667	235
414201	414353	82	1,890244	238
421435	421506	27	2,814815	71
430752	432681	448	4,276730	2142
438894	438931	2	19,000000	76
446961	447006	22	2,136364	76
448606	448648	21	2,142857	72
451686	451784	49	2,000000	189
452479	452503	2	12,500000	50
456937	456970	12	2,833333	68
461516	461552	14	2,600000	56
462203	462244	20	2,100000	66
462401	462425	2	12,500000	50
462683	462744	18	3,526316	58
468700	468740	19	2,210526	57
472501	472598	49	2,020408	180
475063	475120	31	1,903226	91
480238	480387	24	6,375000	117
480239	480387	6	24,222221	100
480239	480387	18	8,095238	118
481436	481479	21	2,095238	79
481764	481794	14	2,214286	62
486675	487043	189	1,994709	475
487909	487947	17	2,352941	53
492901	493057	12	13,333333	137
493054	493156	52	2,019231	147
493069	493763	115	6,037879	685
493323	493522	39	5,348837	176
493330	493550	33	6,173913	174
493478	493738	123	2,170732	363
493583	493673	33	2,757576	101
493599	493956	162	2,214724	547
493615	493936	84	3,904762	458
493685	493765	33	2,470588	92
493718	493808	45	2,022222	110
493761	493835	33	2,272727	87
493845	493925	33	2,470588	110
493911	493936	3	8,666667	52
494967	495813	167	5,235294	1173
494967	495813	84	10,465117	1161
495016	495094	33	2,411765	106
495047	495139	45	2,066667	123
495109	495172	33	1,939394	83
495177	495250	35	2,228571	84
495262	495334	34	2,205882	87
495430	495577	33	4,162791	102
495461	495551	42	2,166667	110
495604	495733	33	3,717949	125
495698	495919	106	2,103774	428
495769	495841	29	2,620690	89
495786	495841	28	2,000000	103
495803	496085	83	3,430233	378
496013	496101	33	2,696970	124
496594	496680	3	29,000000	174
496771	496822	3	17,333334	104
498566	498622	21	2,714286	96
500682	500716	11	3,083333	52
500683	500716	6	5,833333	52
502734	502775	17	2,470588	66
503387	503420	17	2,117647	54
503387	503438	17	3,105263	56
503400	503463	24	2,680000	67
503416	503469	11	5,083333	60
505389	505418	14	2,142857	51
509312	509359	12	4,000000	55
515671	515733	3	21,000000	126
516364	516415	6	8,666667	59
516368	516413	24	1,916667	83
518085	518117	7	5,000000	52
518088	518118	14	2,285714	55
518703	518874	86	2,000000	317
518858	518895	18	2,111111	76
521941	521971	5	6,200000	62
527194	527249	23	2,434783	112
527687	527720	2	17,000000	68
528114	528138	12	2,083333	50
528893	528945	27	1,962963	88
539906	539939	17	2,058824	52
539985	540087	48	2,145833	197
548178	548214	2	19,500000	51
553491	553524	18	2,000000	54
566993	567043	27	1,925926	86
567104	567157	22	2,454545	63
580008	580092	27	2,970588	75
580099	580140	3	14,000000	84
588663	588696	14	2,466667	52
589091	589210	3	39,500000	231
594010	594041	12	2,666667	55
595179	595288	53	2,132076	136
598204	598247	22	2,136364	67
604455	604483	13	2,230769	58
616782	616868	37	2,410256	117
616967	617001	15	2,333333	61
635997	636025	2	14,500000	58
638626	638662	18	2,055556	74
638626	638673	18	2,631579	69
639367	639393	4	6,750000	54
644035	644128	3	31,333334	188
659783	659823	20	2,050000	82
663231	663260	7	4,285714	60
674478	674560	36	2,351351	98
674482	674598	35	3,250000	101
682538	682631	7	13,800000	67
682542	682586	25	1,920000	69
682603	682650	26	1,923077	64
683049	683189	34	4,333333	109
683056	683201	65	2,272727	260
683066	683196	29	4,378378	119
