ENTREZID,"GENENAME","SYMBOL","ONTOLOGY","GO","CHR"
113786473,"transfer RNA glutamic acid (anticodon CUC)","TRNAE-CUC",NA,NA,"Ca4"
101501047,"uncharacterized LOC101501047","LOC101501047",NA,NA,"Ca4"
101501797,"serine carboxypeptidase-like","LOC101501797","MF","GO:0004185","Ca4"
101502123,"uncharacterized LOC101502123","LOC101502123",NA,NA,"Ca4"
101502443,"54S ribosomal protein L51, mitochondrial","LOC101502443","CC","GO:0005739","Ca4"
101502443,"54S ribosomal protein L51, mitochondrial","LOC101502443","CC","GO:0005840","Ca4"
101502443,"54S ribosomal protein L51, mitochondrial","LOC101502443","MF","GO:0003735","Ca4"
101502443,"54S ribosomal protein L51, mitochondrial","LOC101502443","BP","GO:0032543","Ca4"
101502745,"protein MOR1","LOC101502745","BP","GO:0006886","Ca4"
113786459,"transfer RNA methionine (anticodon CAU)","TRNAM-CAU",NA,NA,"Ca4"
101502857,"exocyst complex component EXO84B-like","LOC101502857","CC","GO:0000145","Ca4"
101502857,"exocyst complex component EXO84B-like","LOC101502857","BP","GO:0006887","Ca4"
101501798,"pentatricopeptide repeat-containing protein At1g05750, chloroplastic-like","LOC101501798",NA,NA,"Ca4"
101503057,"uncharacterized LOC101503057","LOC101503057",NA,NA,"Ca4"
101503612,"glycerol-3-phosphate dehydrogenase SDP6, mitochondrial","LOC101503612","CC","GO:0009331","Ca4"
101503612,"glycerol-3-phosphate dehydrogenase SDP6, mitochondrial","LOC101503612","MF","GO:0052591","Ca4"
101503612,"glycerol-3-phosphate dehydrogenase SDP6, mitochondrial","LOC101503612","BP","GO:0006072","Ca4"
101503937,"putative ribosomal large subunit pseudouridine synthase SVR1, chloroplastic","LOC101503937","MF","GO:0009982","Ca4"
101503937,"putative ribosomal large subunit pseudouridine synthase SVR1, chloroplastic","LOC101503937","MF","GO:0003723","Ca4"
101503937,"putative ribosomal large subunit pseudouridine synthase SVR1, chloroplastic","LOC101503937","BP","GO:0001522","Ca4"
101504257,"vacuolar protein-sorting-associated protein 33 homolog","LOC101504257","BP","GO:0006904","Ca4"
101492851,"protein NPGR2","LOC101492851",NA,NA,"Ca4"
101504591,"U-box domain-containing protein 14","LOC101504591","MF","GO:0004842","Ca4"
113786339,"uncharacterized LOC113786339","LOC113786339",NA,NA,"Ca4"
101504907,"ras-related protein RABF1","LOC101504907","MF","GO:0005525","Ca4"
101504907,"ras-related protein RABF1","LOC101504907","MF","GO:0003924","Ca4"
113786209,"uncharacterized LOC113786209","LOC113786209",NA,NA,"Ca4"
101505431,"probable protein S-acyltransferase 15","LOC101505431",NA,NA,"Ca4"
101505766,"amino acid transporter AVT1C-like","LOC101505766","CC","GO:0016021","Ca4"
101506083,"pumilio homolog 4","LOC101506083","MF","GO:0003723","Ca4"
101493077,"putative leucine-rich repeat-containing protein DDB_G0290503","LOC101493077",NA,NA,"Ca4"
101507274,"uncharacterized LOC101507274","LOC101507274",NA,NA,"Ca4"
101508216,"ABC transporter G family member 24-like","LOC101508216","CC","GO:0016021","Ca4"
101508216,"ABC transporter G family member 24-like","LOC101508216","MF","GO:0005524","Ca4"
101508216,"ABC transporter G family member 24-like","LOC101508216","MF","GO:0016887","Ca4"
101508541,"ATPase ARSA1","LOC101508541","MF","GO:0005524","Ca4"
101508541,"ATPase ARSA1","LOC101508541","MF","GO:0016887","Ca4"
101508856,"DNL-type zinc finger protein","LOC101508856","MF","GO:0008270","Ca4"
101509181,"lysM domain receptor-like kinase 3","LOC101509181","MF","GO:0005524","Ca4"
101509181,"lysM domain receptor-like kinase 3","LOC101509181","MF","GO:0004672","Ca4"
101509509,"probable lysine-specific demethylase ELF6","LOC101509509","CC","GO:0005634","Ca4"
101509509,"probable lysine-specific demethylase ELF6","LOC101509509","MF","GO:0008168","Ca4"
101509509,"probable lysine-specific demethylase ELF6","LOC101509509","MF","GO:0003676","Ca4"
101509509,"probable lysine-specific demethylase ELF6","LOC101509509","BP","GO:0032259","Ca4"
101509831,"phenylalanine ammonia-lyase 2","PAL","CC","GO:0005737","Ca4"
101509831,"phenylalanine ammonia-lyase 2","PAL","MF","GO:0045548","Ca4"
101509831,"phenylalanine ammonia-lyase 2","PAL","BP","GO:0009800","Ca4"
101509831,"phenylalanine ammonia-lyase 2","PAL","BP","GO:0006559","Ca4"
113786222,"uncharacterized LOC113786222","LOC113786222",NA,NA,"Ca4"
101502444,"vinorine synthase-like","LOC101502444","MF","GO:0016747","Ca4"
101502746,"synaptotagmin-3","LOC101502746",NA,NA,"Ca4"
101512186,"E3 ubiquitin-protein ligase WAV3-like","LOC101512186","CC","GO:0016021","Ca4"
101510366,"uncharacterized LOC101510366","LOC101510366","CC","GO:0016021","Ca4"
101510366,"uncharacterized LOC101510366","LOC101510366","CC","GO:0031966","Ca4"
101503059,"BTB/POZ domain-containing protein At5g03250-like","LOC101503059",NA,NA,"Ca4"
101512511,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1B","LOC101512511","CC","GO:0005789","Ca4"
101512511,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1B","LOC101512511","CC","GO:0016021","Ca4"
101512511,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1B","LOC101512511","MF","GO:0004579","Ca4"
101512511,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1B","LOC101512511","BP","GO:0006486","Ca4"
101513040,"protein ENHANCED DISEASE RESISTANCE 2-like","LOC101513040","MF","GO:0008289","Ca4"
101513365,"GATA transcription factor 8","LOC101513365","CC","GO:0005634","Ca4"
101513365,"GATA transcription factor 8","LOC101513365","MF","GO:0043565","Ca4"
101513365,"GATA transcription factor 8","LOC101513365","MF","GO:0008270","Ca4"
101513365,"GATA transcription factor 8","LOC101513365","BP","GO:0045893","Ca4"
101493183,"uncharacterized LOC101493183","LOC101493183",NA,NA,"Ca4"
113786271,"uncharacterized LOC113786271","LOC113786271",NA,NA,"Ca4"
101514255,"phosphomannomutase/phosphoglucomutase","LOC101514255","MF","GO:0016868","Ca4"
101514255,"phosphomannomutase/phosphoglucomutase","LOC101514255","BP","GO:0005975","Ca4"
101514892,"uncharacterized LOC101514892","LOC101514892","MF","GO:0008080","Ca4"
101515426,"endoplasmic reticulum metallopeptidase 1","LOC101515426","CC","GO:0016021","Ca4"
101488859,"aquaporin PIP2-1-like","LOC101488859","CC","GO:0016021","Ca4"
101488859,"aquaporin PIP2-1-like","LOC101488859","MF","GO:0015267","Ca4"
101489514,"caffeoylshikimate esterase-like","LOC101489514",NA,NA,"Ca4"
101489830,"patatin-like protein 6","LOC101489830","MF","GO:0016787","Ca4"
101489830,"patatin-like protein 6","LOC101489830","BP","GO:0016042","Ca4"
101490158,"chorismate synthase, chloroplastic","LOC101490158","MF","GO:0004107","Ca4"
101490158,"chorismate synthase, chloroplastic","LOC101490158","BP","GO:0009073","Ca4"
101490158,"chorismate synthase, chloroplastic","LOC101490158","BP","GO:0009423","Ca4"
101490705,"aminodeoxychorismate synthase, chloroplastic","LOC101490705","BP","GO:0009396","Ca4"
101490705,"aminodeoxychorismate synthase, chloroplastic","LOC101490705","BP","GO:0006541","Ca4"
101493504,"succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","LOC101493504","CC","GO:0005739","Ca4"
101493504,"succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","LOC101493504","MF","GO:0005524","Ca4"
101493504,"succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","LOC101493504","MF","GO:0000287","Ca4"
101493504,"succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","LOC101493504","MF","GO:0004775","Ca4"
101493504,"succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial","LOC101493504","BP","GO:0006099","Ca4"
113786112,"serotransferrin-like","LOC113786112",NA,NA,"Ca4"
101491228,"uncharacterized protein slr1919","LOC101491228","MF","GO:0005524","Ca4"
101491228,"uncharacterized protein slr1919","LOC101491228","MF","GO:0004672","Ca4"
101491549,"rhomboid-like protein 19","LOC101491549","CC","GO:0016021","Ca4"
101491549,"rhomboid-like protein 19","LOC101491549","BP","GO:0006890","Ca4"
101491856,"probable ubiquitin-conjugating enzyme E2 C","LOC101491856","MF","GO:0005524","Ca4"
101491856,"probable ubiquitin-conjugating enzyme E2 C","LOC101491856","MF","GO:0016740","Ca4"
101492191,"tetraspanin-6-like","LOC101492191","CC","GO:0016021","Ca4"
101492531,"serine carboxypeptidase-like 27","LOC101492531","MF","GO:0004185","Ca4"
101504689,"uncharacterized LOC101504689","LOC101504689","CC","GO:0005634","Ca4"
101504689,"uncharacterized LOC101504689","LOC101504689","MF","GO:0003677","Ca4"
101505660,"RNA pseudouridine synthase 5","LOC101505660","MF","GO:0009982","Ca4"
101505660,"RNA pseudouridine synthase 5","LOC101505660","MF","GO:0003723","Ca4"
101505660,"RNA pseudouridine synthase 5","LOC101505660","BP","GO:0001522","Ca4"
101505985,"uncharacterized LOC101505985","LOC101505985",NA,NA,"Ca4"
101506514,"uncharacterized LOC101506514","LOC101506514","CC","GO:0016021","Ca4"
101506514,"uncharacterized LOC101506514","LOC101506514","BP","GO:0070072","Ca4"
101506845,"alpha-taxilin","LOC101506845","MF","GO:0019905","Ca4"
113786122,"uncharacterized LOC113786122","LOC113786122",NA,NA,"Ca4"
101507392,"protein IQ-DOMAIN 1","LOC101507392",NA,NA,"Ca4"
101507700,"mitochondrial substrate carrier family protein C","LOC101507700","CC","GO:0016021","Ca4"
101507700,"mitochondrial substrate carrier family protein C","LOC101507700","MF","GO:0005509","Ca4"
101503176,"CRIB domain-containing protein RIC7-like","LOC101503176",NA,NA,"Ca4"
101508029,"DEAD-box ATP-dependent RNA helicase 35","LOC101508029","MF","GO:0005524","Ca4"
101508029,"DEAD-box ATP-dependent RNA helicase 35","LOC101508029","MF","GO:0004386","Ca4"
101508029,"DEAD-box ATP-dependent RNA helicase 35","LOC101508029","MF","GO:0003676","Ca4"
101508029,"DEAD-box ATP-dependent RNA helicase 35","LOC101508029","MF","GO:0008270","Ca4"
101508341,"ATP synthase subunit d, mitochondrial","LOC101508341","CC","GO:0000276","Ca4"
